PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,GroupSize,Title,FamilySize,IsAloneFamily,IsAloneGroup
1,0,3,male,22.0,1,0,7,S,1,Mr,2,0,1
2,1,1,female,38.0,1,0,71,C,1,Mrs,2,0,1
3,1,3,female,26.0,0,0,8,S,1,Miss,1,1,1
4,1,1,female,35.0,1,0,53,S,2,Mrs,2,0,0
5,0,3,male,35.0,0,0,8,S,1,Mr,1,1,1
6,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
7,0,1,male,54.0,0,0,52,S,1,Mr,1,1,1
8,0,3,male,2.0,3,1,21,S,4,Master,5,0,0
9,1,3,female,27.0,0,2,11,S,3,Mrs,3,0,0
10,1,2,female,14.0,1,0,30,C,2,Mrs,2,0,0
11,1,3,female,4.0,1,1,17,S,2,Miss,3,0,0
12,1,1,female,58.0,0,0,27,S,1,Miss,1,1,1
13,0,3,male,20.0,0,0,8,S,1,Mr,1,1,1
14,0,3,male,39.0,1,5,31,S,7,Mr,7,0,0
15,0,3,female,14.0,0,0,8,S,1,Miss,1,1,1
16,1,2,female,55.0,0,0,16,S,1,Mrs,1,1,1
17,0,3,male,2.0,4,1,29,Q,5,Master,6,0,0
18,1,2,male,31.0,0,0,13,S,1,Mr,1,1,1
19,0,3,female,31.0,1,0,18,S,1,Mrs,2,0,1
20,1,3,female,31.0,0,0,7,C,1,Mrs,1,1,1
21,0,2,male,35.0,0,0,26,S,2,Mr,1,1,0
22,1,2,male,34.0,0,0,13,S,1,Mr,1,1,1
23,1,3,female,15.0,0,0,8,Q,1,Miss,1,1,1
24,1,1,male,28.0,0,0,36,S,1,Mr,1,1,1
25,0,3,female,8.0,3,1,21,S,4,Miss,5,0,0
26,1,3,female,38.0,1,5,31,S,4,Mrs,7,0,0
27,0,3,male,26.0,0,0,7,C,1,Mr,1,1,1
28,0,1,male,19.0,3,2,263,S,4,Mr,6,0,0
29,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
30,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
31,0,1,male,40.0,0,0,28,C,1,Rare,1,1,1
32,1,1,female,39.5,1,0,147,C,2,Mrs,2,0,0
33,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
34,0,2,male,66.0,0,0,10,S,1,Mr,1,1,1
35,0,1,male,28.0,1,0,82,C,2,Mr,2,0,0
36,0,1,male,42.0,1,0,52,S,2,Mr,2,0,0
37,1,3,male,26.0,0,0,7,C,1,Mr,1,1,1
38,0,3,male,21.0,0,0,8,S,1,Mr,1,1,1
39,0,3,female,18.0,2,0,18,S,2,Miss,3,0,0
40,1,3,female,14.0,1,0,11,C,2,Miss,2,0,0
41,0,3,female,40.0,1,0,9,S,1,Mrs,2,0,1
42,0,2,female,27.0,1,0,21,S,2,Mrs,2,0,0
43,0,3,male,26.0,0,0,8,C,1,Mr,1,1,1
44,1,2,female,3.0,1,2,42,C,3,Miss,4,0,0
45,1,3,female,19.0,0,0,8,Q,1,Miss,1,1,1
46,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
47,0,3,male,26.0,1,0,16,Q,1,Mr,2,0,1
48,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
49,0,3,male,26.0,2,0,22,C,1,Mr,3,0,1
50,0,3,female,18.0,1,0,18,S,2,Mrs,2,0,0
51,0,3,male,7.0,4,1,40,S,6,Master,6,0,0
52,0,3,male,21.0,0,0,8,S,1,Mr,1,1,1
53,1,1,female,49.0,1,0,77,C,3,Mrs,2,0,0
54,1,2,female,29.0,1,0,26,S,1,Mrs,2,0,1
55,0,1,male,65.0,0,1,62,C,1,Mr,2,0,1
56,1,1,male,40.0,0,0,36,S,1,Mr,1,1,1
57,1,2,female,21.0,0,0,10,S,1,Miss,1,1,1
58,0,3,male,28.5,0,0,7,C,1,Mr,1,1,1
59,1,2,female,5.0,1,2,28,S,3,Miss,4,0,0
60,0,3,male,11.0,5,2,47,S,6,Master,8,0,0
61,0,3,male,22.0,0,0,7,C,1,Mr,1,1,1
63,0,1,male,45.0,1,0,83,S,2,Mr,2,0,0
64,0,3,male,4.0,3,2,28,S,6,Master,6,0,0
65,0,1,male,40.0,0,0,28,C,1,Mr,1,1,1
66,1,3,male,4.0,1,1,15,C,2,Master,3,0,0
67,1,2,female,29.0,0,0,10,S,1,Mrs,1,1,1
68,0,3,male,19.0,0,0,8,S,1,Mr,1,1,1
69,1,3,female,17.0,4,2,8,S,1,Miss,7,0,1
70,0,3,male,26.0,2,0,9,S,1,Mr,3,0,1
71,0,2,male,32.0,0,0,10,S,1,Mr,1,1,1
72,0,3,female,16.0,5,2,47,S,6,Miss,8,0,0
73,0,2,male,21.0,0,0,74,S,5,Mr,1,1,0
74,0,3,male,26.0,1,0,14,C,1,Mr,2,0,1
75,1,3,male,32.0,0,0,56,S,7,Mr,1,1,0
76,0,3,male,25.0,0,0,8,S,1,Mr,1,1,1
77,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
78,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
79,1,2,male,0.83,0,2,29,S,2,Master,3,0,0
80,1,3,female,30.0,0,0,12,S,2,Miss,1,1,0
81,0,3,male,22.0,0,0,9,S,1,Mr,1,1,1
82,1,3,male,29.0,0,0,10,S,1,Mr,1,1,1
83,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
84,0,1,male,28.0,0,0,47,S,1,Mr,1,1,1
85,1,2,female,17.0,0,0,10,S,1,Miss,1,1,1
86,1,3,female,33.0,3,0,16,S,2,Mrs,4,0,0
87,0,3,male,16.0,1,3,34,S,4,Mr,5,0,0
88,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
89,1,1,female,23.0,3,2,263,S,4,Miss,6,0,0
90,0,3,male,24.0,0,0,8,S,1,Mr,1,1,1
91,0,3,male,29.0,0,0,8,S,1,Mr,1,1,1
92,0,3,male,20.0,0,0,8,S,1,Mr,1,1,1
93,0,1,male,46.0,1,0,61,S,1,Mr,2,0,1
94,0,3,male,26.0,1,2,21,S,2,Mr,4,0,0
95,0,3,male,59.0,0,0,7,S,1,Mr,1,1,1
96,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
97,0,1,male,71.0,0,0,35,C,1,Mr,1,1,1
98,1,1,male,23.0,0,1,63,C,1,Mr,2,0,1
99,1,2,female,34.0,0,1,23,S,2,Mrs,2,0,0
100,0,2,male,34.0,1,0,26,S,2,Mr,2,0,0
101,0,3,female,28.0,0,0,8,S,1,Miss,1,1,1
102,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
103,0,1,male,21.0,0,1,77,S,2,Mr,2,0,0
104,0,3,male,33.0,0,0,9,S,1,Mr,1,1,1
105,0,3,male,37.0,2,0,8,S,1,Mr,3,0,1
106,0,3,male,28.0,0,0,8,S,1,Mr,1,1,1
107,1,3,female,21.0,0,0,8,S,1,Miss,1,1,1
108,1,3,male,26.0,0,0,8,S,1,Mr,1,1,1
109,0,3,male,38.0,0,0,8,S,1,Mr,1,1,1
110,1,3,female,18.0,1,0,24,Q,3,Miss,2,0,0
111,0,1,male,47.0,0,0,52,S,2,Mr,1,1,0
112,0,3,female,14.5,1,0,14,C,2,Miss,2,0,0
113,0,3,male,22.0,0,0,8,S,1,Mr,1,1,1
114,0,3,female,20.0,1,0,10,S,1,Miss,2,0,1
115,0,3,female,17.0,0,0,14,C,2,Miss,1,1,0
116,0,3,male,21.0,0,0,8,S,1,Mr,1,1,1
